EVA_NR;DS100;IFOPT;NAME;Verkehr;Laenge;Breite;Betreiber_Name;Betreiber_Nr;Status
8000230;MLI;de:09776:1546;Lindau Hbf;FV;9,680469;47,544341;DB Station und Service AG;3727;
8000235;TLU;de:08118:7402;Ludwigsburg;FV;9,18542;48,891862;DB Station und Service AG;3833;
8000236;RL,RL  T;de:07314:2080;Ludwigshafen(Rh)Hbf;FV;8,433402;49,477987;DB Station und Service AG;3837;
8000237;AL;de:01003:57819;Lübeck Hbf;FV;10,669821;53,867547;DB Station und Service AG;3807;
8000238;ALBG,ALBGW;de:03355:8000238;Lüneburg;FV;10,41989;53,249656;DB Station und Service AG;3855;
8000240;FMZ;de:07315:9037;Mainz Hbf;FV;8,25872;50,001117;DB Station und Service AG;3898;
8000244;RM;de:08222:2417;Mannheim Hbf;FV;8,468921;49,479354;DB Station und Service AG;3925;
8000249;MM;de:09764:3100;Memmingen;FV;10,186853;47,985581;DB Station und Service AG;4051;
8000250;FW;de:06414:6907;Wiesbaden Hbf;FV;8,243731;50,070791;DB Station und Service AG;6744;
8000252;HM;de:05770:4213;Minden(Westf);FV;8,934728;52,290138;DB Station und Service AG;4120;
8000253;KM;de:05116:23007;Mönchengladbach Hbf;FV;6,446111;51,196583;DB Station und Service AG;4162;
8000257;FWOR;de:07319:4415;Worms Hbf;FV;8,356448;49,63494;DB Station und Service AG;6887;
8000259;EMLR;de:05117:15225;Mülheim(Ruhr)Hbf;FV;6,88651;51,431342;DB Station und Service AG;4219;
8000260;NWH;de:09663:177;Würzburg Hbf;FV;9,93578;49,801796;DB Station und Service AG;6945;
8000261;MH;de:09162:100;München Hbf;FV;11,558335;48,140232;DB Station und Service AG;4234;
8000262;MOP;de:09162:5;München Ost;FV;11,604971;48,12744;DB Station und Service AG;4241;
8000263;EMST,EMSTP;de:05515:41000;Münster(Westf)Hbf;FV;7,635715;51,956566;DB Station und Service AG;4280;
8000266;KW;de:05124:11376;Wuppertal Hbf;FV;7,149543;51,254363;DB Station und Service AG;6914;
8000271;AN;de:01004:66023;Neumünster;FV;9,979816;54,075752;DB Station und Service AG;4420;
8000274;KN,KN  O,KN  W;de:05162:20055;Neuss Hbf;FV;6,684527;51,204351;DB Station und Service AG;4440;
8000275;RN;de:07316:3144;Neustadt(Weinstr)Hbf;FV;8,140757;49,349553;DB Station und Service AG;4454;
8000276;KNE;de:07138:10107;Neuwied;FV;7,473132;50,431466;DB Station und Service AG;4464;
8000279;HNBG;de:03256:67639;Nienburg(Weser);FV;9,217753;52,645566;DB Station und Service AG;4548;
8000283;HN;de:03155:68704;Northeim(Han);FV;9,986618;51,703139;DB Station und Service AG;4587;
8000284;NN;de:09564:510;Nürnberg Hbf;FV;11,082989;49,445616;DB Station und Service AG;4593;
8000286;EOB;de:05119:14022;Oberhausen Hbf;FV;6,851588;51,474878;DB Station und Service AG;4648;
8000290;RO;de:08317:14506;Offenburg;FV;7,946723;48,476475;DB Station und Service AG;4745;
8000291;HOLD;de:03403:16750;Oldenburg(Oldb);FV;8,222713;53,144323;DB Station und Service AG;4765;
8000294;HO,HO  O,HO  U;de:03404:71612;Osnabrück Hbf;FV;8,061781;52,272851;DB Station und Service AG;4787;
8000297;EPD;de:05774:7000;Paderborn Hbf;FV;8,740505;51,712979;DB Station und Service AG;4846;
8000298;NPA;de:09262:156;Passau Hbf;FV;13,450776;48,573632;DB Station und Service AG;4872;
8000299;TPH;de:08231:50;Pforzheim Hbf;FV;8,703099;48,894152;DB Station und Service AG;4922;
8000301;NPL;de:09271:4445;Plattling;FV;12,86394;48,779619;DB Station und Service AG;4952;
8000302;TP;de:08116:7802;Plochingen;FV;9,41081;48,71308;DB Station und Service AG;4967;
8000306;RRA;de:08216:1844;Rastatt;FV;8,215623;48,860483;DB Station und Service AG;5125;
8000307;ERE;de:05562:3581;Recklinghausen Hbf;FV;7,20349;51,616359;DB Station und Service AG;5160;
8000309;NRH;de:09362:11090;Regensburg Hbf;FV;12,099617;49,011672;DB Station und Service AG;5169;
8000310;KRE;de:07131:080107;Remagen;FV;7,229779;50,577215;DB Station und Service AG;5214;
8000312;AR;de:01058:76697;Rendsburg;FV;9,671134;54,302262;DB Station und Service AG;5223;
8000314;TRE;de:08415:22006;Reutlingen Hbf;FV;9,209116;48,496079;DB Station und Service AG;5242;
8000316;HR;de:05566:60846;Rheine;FV;7,434255;52,276299;DB Station und Service AG;5251;
8000318;KRY,KRY P;de:05116:23023;Rheydt Hbf;FV;6,439564;51,163027;DB Station und Service AG;5260;
